Coin,Side,Type,Amount(Fee included),Fee,Time,Remark
KCS,Withdrawal,KCS Pay Fees,0.00017430443379677554,0,2022/01/22 07:25:47,
KCS,Withdrawal,KCS Pay Fees,0.0017447224319269504,0,2022/01/22 07:24:29,
KCS,Withdrawal,KCS Pay Fees,0.0017634859437751004,0,2022/01/22 07:24:05,
KCS,Withdrawal,KCS Pay Fees,0.0050016804126199925,0,2022/01/22 07:24:01,
KCS,Withdrawal,KCS Pay Fees,0.0012786641207130328,0,2022/01/22 07:23:57,
KCS,Withdrawal,KCS Pay Fees,0.00497382261808367,0,2022/01/22 07:23:42,
KCS,Withdrawal,KCS Pay Fees,0.004252298600409868,0,2022/01/21 21:48:41,
KCS,Withdrawal,KCS Pay Fees,0.004278440286461294,0,2022/01/21 20:10:46,
KCS,Withdrawal,KCS Pay Fees,0.0016111283306365714,0,2022/01/21 08:27:54,
KCS,Withdrawal,KCS Pay Fees,0.0004232307502737426,0,2022/01/21 08:25:24,
KCS,Withdrawal,KCS Pay Fees,0.0020310097098625744,0,2022/01/21 08:25:10,
KCS,Withdrawal,KCS Pay Fees,0.00000842651015977346,0,2022/01/21 08:13:44,
KCS,Withdrawal,KCS Pay Fees,0.002027298469401567,0,2022/01/21 08:13:44,
KCS,Withdrawal,KCS Pay Fees,0.00006498510543258936,0,2022/01/20 21:02:22,
KCS,Withdrawal,KCS Pay Fees,0.0040912306644615235,0,2022/01/18 05:53:36,
KCS,Withdrawal,KCS Pay Fees,0.004098321809785828,0,2022/01/18 05:53:27,
KCS,Withdrawal,KCS Pay Fees,0.001995259857795734,0,2022/01/17 05:54:59,
KCS,Withdrawal,KCS Pay Fees,0.00001124913747412422,0,2022/01/17 05:54:59,
KCS,Withdrawal,KCS Pay Fees,0.002467087629731636,0,2022/01/11 01:52:20,
KCS,Withdrawal,KCS Pay Fees,0.002278737646365609,0,2022/01/11 01:28:25,
KCS,Withdrawal,KCS Pay Fees,0.0018348466833768746,0,2022/01/09 21:26:37,
KCS,Withdrawal,KCS Pay Fees,0.005429008512168805,0,2022/01/09 21:26:37,
KCS,Withdrawal,KCS Pay Fees,0.00010450656810175785,0,2022/01/08 05:41:58,
KCS,Withdrawal,KCS Pay Fees,0.002093582701800737,0,2022/01/07 21:59:47,
KCS,Withdrawal,KCS Pay Fees,0.0011078487342431503,0,2022/01/07 21:59:40,
KCS,Withdrawal,KCS Pay Fees,0.001083907487393207,0,2022/01/07 21:59:34,
KCS,Withdrawal,KCS Pay Fees,0.0020317973014728602,0,2022/01/06 18:47:51,
KCS,Withdrawal,KCS Pay Fees,0.0006699287695128032,0,2022/01/06 18:47:40,
KCS,Withdrawal,KCS Pay Fees,0.0013730018025388951,0,2022/01/06 18:47:40,
KCS,Withdrawal,KCS Pay Fees,0.0021268545171257295,0,2022/01/06 05:41:19,
KCS,Withdrawal,KCS Pay Fees,0.0021279812677705303,0,2022/01/06 05:41:16,
KCS,Withdrawal,KCS Pay Fees,0.009282959148599045,0,2022/01/06 05:41:15,
KCS,Withdrawal,KCS Pay Fees,0.00001216994301106504,0,2022/01/06 05:41:08,
KCS,Withdrawal,KCS Pay Fees,0.0021280886797606776,0,2022/01/06 05:41:01,
KCS,Withdrawal,KCS Pay Fees,0.0021112439834267264,0,2022/01/06 05:38:35,
KCS,Withdrawal,KCS Pay Fees,0.005335008277986859,0,2022/01/06 05:38:01,
KCS,Withdrawal,KCS Pay Fees,0.0021184167258000313,0,2022/01/06 05:36:41,
KCS,Withdrawal,KCS Pay Fees,0.0013362135914743742,0,2022/01/05 01:54:55,